long,lat,demolition
-83.267294279,42.4196914222,0
-83.1971501625,42.3873607524,1
-83.1343280899,42.3074687959,1
-82.9510400597,42.4234169388,1
-83.0265387545,42.3540747982,0
-83.0676903122,42.3816922326,1
-83.2338761728,42.3796753964,0
-83.1357966205,42.3855299906,1
-83.0885721411,42.3617476103,1
-83.1508754051,42.2895910314,1
-83.2514363506,42.3965459501,1
-82.9810308271,42.3963939749,1
-82.9930082439,42.4281094089,1
-83.1425583777,42.360290847,1
-83.2501903337,42.4026040768,1
-82.9687632344,42.4141148573,0
-83.1195573706,42.4212459521,0
-83.1437392199,42.4009522161,1
-83.127092369,42.4124737754,0
-83.1495798579,42.3561321168,0
-83.1746831649,42.3849467886,0
-83.1025144966,42.3203235207,1
-83.1972768103,42.4041551028,0
-83.1004146284,42.4289470056,0
-83.1569020264,42.3556648775,0
-83.0958733958,42.4298356462,1
-83.1089301491,42.3878677948,0
-82.9274892671,42.3977835091,0
-83.1098301848,42.4196255673,0
-83.2717226939,42.3793179313,0
-83.0001215941,42.3617100304,1
-83.0971221788,42.3167380799,1
-83.1254112942,42.3148940586,1
-83.1311015276,42.3290953759,1
-83.1007982245,42.3641617127,1
-83.0491938545,42.3334948764,0
-83.1157309522,42.3740185416,0
-82.967189555,42.4411774262,1
-83.1432302426,42.3536746253,0
-83.1075102009,42.4452223944,1
-83.2037236078,42.4119899209,0
-82.9678521542,42.4021878838,1
-83.2097430385,42.3848498026,0
-83.0821765019,42.3544182224,1
-83.1094981968,42.3881145645,0
-83.2043700308,42.3708482488,1
-83.160209473,42.3799994249,0
-82.9735762209,42.4394460071,1
-83.1792485123,42.3521401608,1
-83.1208829272,42.302320412,1
-82.9341543542,42.4167053733,0
-83.2635576599,42.4174497168,1
-82.9770234553,42.434523449,1
-82.9915262766,42.4170635514,1
-83.1102781768,42.429128383,0
-83.0736737415,42.3395098946,0
-83.1195694318,42.3829080212,0
-83.1136701016,42.4367199373,1
-83.1822167226,42.4075865414,0
-83.005990381,42.385531958,1
-82.9647674222,42.4447984365,0
-83.1448460203,42.3237259981,1
-82.9530752339,42.4322733402,1
-83.126655365,42.3775941675,1
-82.9947457336,42.3765965282,1
-83.2414426249,42.3891645751,0
-83.1307733446,42.3164046241,0
-82.9722390962,42.4385602253,1
-83.0733945906,42.3358624119,1
-83.1565470629,42.3646466478,1
-83.2415310303,42.370784976,0
-83.2380733715,42.3830355537,1
-83.0035527394,42.3830126405,0
-83.1056215808,42.3451073727,1
-83.1801000391,42.3772400035,0
-83.0661540218,42.423767064,1
-83.0853785018,42.3751638695,1
-83.1470948911,42.291751502,1
-82.9763729562,42.4295732039,0
-83.1473435361,42.288377348,1
-83.1057696126,42.387851786,0
-83.2495096261,42.3962701344,1
-83.1807988175,42.3995055785,0
-82.9579958909,42.3791799968,1
-83.1645210059,42.3821747166,1
-83.0622141399,42.3491244025,1
-83.1569421117,42.3690386768,0
-83.1606567412,42.3537522366,0
-83.1291706978,42.3271847796,0
-83.0375445688,42.3726614131,0
-83.1247596004,42.311343572,1
-83.247481629,42.3863222264,0
-83.0127533801,42.3983458978,0
-82.9662060445,42.4205090255,1
-83.0126844263,42.3726372868,1
-83.0690933322,42.4146371366,0
-82.9865800217,42.4155167382,1
-82.9902570349,42.4332171186,0
-82.971351477,42.4430414564,1
-83.2343099336,42.3397442584,1
-82.9914878,42.3715890897,1
-83.2682246227,42.401153555,1
-83.2400900957,42.4210391107,1
-83.2722040362,42.4259966921,0
-82.9218668498,42.4106217184,0
-82.9914602648,42.4217066058,1
-83.1059468283,42.3285852992,1
-83.1194904752,42.3083168871,1
-83.0660990817,42.3306371723,0
-83.0664047643,42.3854055441,0
-83.145213655,42.2918791402,1
-83.0785726924,42.4447476988,0
-83.1692837761,42.4067908264,0
-83.1624072508,42.4325422488,0
-82.9853223049,42.3593548179,1
-83.0654671228,42.4269050565,0
-83.1104576065,42.4326698297,1
-83.0280545338,42.3672969847,0
-83.181622452,42.3881937374,0
-83.174600832,42.3712705723,1
-83.0052224994,42.4404609721,0
-83.0642369477,42.3672937682,1
-82.9662087769,42.4306084596,1
-83.0443230988,42.3705240119,1
-83.1480378396,42.2871400499,1
-83.0847270593,42.4178432575,0
-83.220920852,42.3562029046,1
-83.1035565649,42.3362593966,1
-83.0914173465,42.4349752054,1
-83.0920498446,42.4382340684,1
-83.1234238117,42.3088997215,0
-82.9621079356,42.4232859699,0
-83.1477699219,42.2878736157,1
-83.2201918765,42.4087285748,0
-83.1266279726,42.3071633092,1
-83.0023053343,42.3938471156,1
-83.0237544809,42.4299127485,0
-83.1197497004,42.3485007402,1
-83.0364357003,42.3596513638,0
-83.2348924069,42.3535544677,1
-83.247067,42.2684322,1
-82.9992689316,42.4316843652,1
-83.1068452109,42.3711290349,1
-83.1432702878,42.402100848,0
-83.0978449026,42.3411541523,1
-82.9723731497,42.4341768669,1
-82.9576884586,42.3868714767,1
-82.9879384001,42.3671230319,1
-83.2429129334,42.3755120545,1
-83.110370002,42.3291290153,1
-83.2379170858,42.3541435272,0
-83.0028260633,42.380119412,1
-83.187484478,42.356244977,0
-83.1322911139,42.4080555337,1
-83.1467166534,42.2905145941,1
-83.2118376445,42.3773318332,1
-83.194735932,42.4345610743,0
-83.0265609588,42.4296716657,0
