address,date,type,lat,long
5758  LINWOOD,8/11/15,Dismantle,42.3549308,-83.09522709999997
5361  LOVETT,8/11/15,Dismantle,42.345382,-83.11361
6351  GLADYS,8/11/15,Dismantle,42.3395681,-83.12778809999998
4428  TIREMAN,8/11/15,Dismantle,42.354776,-83.11549099999998
5239  DANIELS,8/11/15,Dismantle,42.336441,-83.130214
5353  LOVETT,8/11/15,Dismantle,42.34531,-83.113557
5095  CENTRAL,8/11/15,Dismantle,42.333518,-83.1394317
5263  PROCTOR,8/11/15,Dismantle,42.3338492,-83.13773940000002
17223  EVERGREEN,8/11/15,Dismantle,42.4169385,-83.23857679999998
4406  TIREMAN,8/11/15,Dismantle,42.3548929,-83.115184
8447  CAMERON,8/11/15,Dismantle,42.381917,-83.067177
6021  LINWOOD,8/11/15,Dismantle,42.356297399999995,-83.0966313
6509  DEVEREAUX,8/11/15,Dismantle,42.33806660000001,-83.1288998
5501  DANIELS,8/11/15,Dismantle,42.3384722,-83.1318325
5453  CHOPIN,8/11/15,Dismantle,42.33591060000001,-83.13702420000001
6144  LINWOOD,8/11/15,Dismantle,42.358075,-83.09738399999998
6450 W EDSEL FORD,8/11/15,Dismantle,42.3312805,-83.12338179999998
4433  MCGRAW,8/11/15,Dismantle,42.34562700000001,-83.11461299999998
5468  FLORIDA,8/11/15,Dismantle,42.33527,-83.139224
1830 W GRAND BLVD,8/11/15,Dismantle,42.33163400000001,-83.0710567
12400  EVERGREEN,8/11/15,Dismantle,42.3779461,-83.2360042
8538  DEXTER,8/11/15,Dismantle,42.36536299999999,-83.11382499999998
9511  AMERICAN,8/11/15,Dismantle,42.3666895,-83.1447767
5416  CHOPIN,8/11/15,Dismantle,42.335643,-83.13619200000002
8340  DEXTER,8/11/15,Dismantle,42.36396999999999,-83.112881
5746  LAWNDALE,8/11/15,Dismantle,42.3336993,-83.15122690000003
5443  DANIELS,8/11/15,Dismantle,42.3377912,-83.13132970000002
3359  HOGARTH,8/11/15,Dismantle,42.359676,-83.1097829
2416  WENDELL,8/10/15,Dismantle,42.31140170000001,-83.1318744
1057  CASGRAIN,8/10/15,Dismantle,42.30814729999999,-83.1082816
5454  FLORIDA,8/10/15,Dismantle,42.335125,-83.13911999999998
6340  GLADYS,8/10/15,Dismantle,42.33994860000001,-83.12772660000002
5141  SPRINGWELLS,8/10/15,Dismantle,42.3329239,-83.1414676
2559  CARSON,8/10/15,Dismantle,42.3139496,-83.12965390000002
5474  CASPER,8/10/15,Dismantle,42.334728999999996,-83.14077999999998
9709  MCQUADE,8/10/15,Dismantle,42.372686,-83.121737
7713  DEXTER,8/10/15,Dismantle,42.360425,-83.111391
2333  WENDELL,8/10/15,Dismantle,42.310254500000006,-83.1314752
5444  SPRINGWELLS,8/10/15,Dismantle,42.333987,-83.141527
5163  SPRINGWELLS,8/10/15,Dismantle,42.3331984,-83.14161999999997
9700  NARDIN,8/10/15,Dismantle,42.369482,-83.13170799999997
5424  SPRINGWELLS,8/10/15,Dismantle,42.333659000000004,-83.1414362
6457  GLADYS,8/10/15,Dismantle,42.338923,-83.12894200000002
7301  SENATOR,8/10/15,Dismantle,42.3116893,-83.12198640000003
7282  LANE,8/10/15,Dismantle,42.3094391,-83.1197552
9666  NARDIN,8/10/15,Dismantle,42.369385,-83.131637
5609  LAWNDALE,8/10/15,Dismantle,42.3318778,-83.1502734
2350  LAWNDALE,8/10/15,Dismantle,42.3099504,-83.1330875
2141  CANTON,8/7/15,Dismantle,42.35533299999999,-83.01026800000002
8067  STOUT,8/7/15,Dismantle,42.351316,-83.2396225
18090  JAMES COUZENS,8/7/15,Dismantle,42.3894971,-83.00924739999998
3381  CHARLEVOIX,8/7/15,Dismantle,42.355669,-83.02313699999998
3826  CHARLES,8/7/15,Dismantle,42.411339,-83.057869
3057  FIELD,8/7/15,Dismantle,42.362549,-83.01048399999998
2199  CONCORD,8/7/15,Dismantle,42.35569,-83.01182299999998
2471  CONCORD,8/7/15,Dismantle,42.357406,-83.01294999999998
